query_type,epochs,num_sources,num_aggregators,keys_per_source,sources_per_epoch,total_unique_keys,samples_per_key,total_events,prove_time_ms,verify_time_ms,proof_size_bytes,journal_size_bytes,dp_offset,memory_mb,seed,dp_enabled,risc0_dev_mode
samples/sum,32,128,16,8,8,1024,128,262144,1123.3s,39ms,226.5 KB,4.3 KB,0,9608.62,0xBEEF,0,0
raw/max_key,32,128,16,8,8,1024,128,262144,42552.9s,35ms,219.1 KB,568 B,0,9608.62,0xBEEF,0,0
samples/sum,4,128,16,8,8,1024,128,32768,153.8s,37ms,219.5 KB,792 B,1796224,9442.53,0xBEEF,1,0
raw/max_key,4,128,16,8,8,1024,128,32768,5275.1s,38ms,219.1 KB,568 B,663843,9442.53,0xBEEF,1,0
samples/sum,8,128,16,8,8,1024,128,65536,293.6s,37ms,220.5 KB,1.3 KB,1113357,9478.72,0xBEEF,1,0
raw/max_key,8,128,16,8,8,1024,128,65536,10600.8s,38ms,219.1 KB,568 B,1270558,9478.72,0xBEEF,1,0
samples/sum,16,128,16,8,8,1024,128,131072,580.0s,37ms,222.5 KB,2.3 KB,659418,9492.25,0xBEEF,1,0
raw/max_key,16,128,16,8,8,1024,128,131072,21252.7s,37ms,219.1 KB,568 B,478450,9492.25,0xBEEF,1,0
samples/sum,32,128,16,8,8,1024,128,262144,1125.6s,37ms,226.5 KB,4.3 KB,329518,9614.60,0xBEEF,1,0
raw/max_key,32,128,16,8,8,1024,128,262144,42585.2s,38ms,219.1 KB,568 B,962553,9614.60,0xBEEF,1,0
